,title,region,region_name,price_title,property_size,bedrooms,bathrooms,furnishing,boosted,state,price_m2
0,"4bdrm Duplex in Abuja Estate, Owerri for sale","Imo State, Owerri",Owerri,170000000.0,600,4,5,Unfurnished,1,Imo,283333.0
1,"Furnished 5bdrm Bungalow in Prime Property, Benin City for sale","Edo State, Benin City",Benin City,45000000.0,1500,5,4,Furnished,1,Edo,30000.0
2,2bdrm Block of Flats in Uyo for sale,"Akwa Ibom State, Uyo",Uyo,30000000.0,400,2,1,Unfurnished,0,Akwa Ibom,75000.0
3,"Furnished 6bdrm Duplex in Port Harcourt, Obio-Akpor for sale","Rivers State, Obio-Akpor",Obio-Akpor,150000000.0,1162,6,6,Furnished,0,Rivers,129088.0
4,"12bdrm Block of Flats in Kapua, FHA for sale","Lugbe District, FHA",FHA,250000000.0,1300,12,16,Semi-furnished,0,Abuja,192308.0
5,"4bdrm Duplex in Utesi, Benin City for sale","Edo State, Benin City",Benin City,47000000.0,2000,4,4,Unfurnished,0,Edo,23500.0
6,"4bdrm Duplex in Saud Supreme, Lugbe District for sale","Abuja (FCT), Lugbe District",Lugbe District,250000000.0,500,4,5,Semi-furnished,0,Abuja,500000.0
7,"Furnished 3bdrm House in Prime Property, Benin City for sale","Edo State, Benin City",Benin City,120000000.0,1000,3,3,Furnished,1,Edo,120000.0
8,"4bdrm Duplex in Peace Gardens Estate, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,360000000.0,400,4,5,Unfurnished,0,Lagos,900000.0
9,Furnished 4bdrm Block of Flats in Peninsula Estate for sale,"Ajah, Peninsula Estate",Peninsula Estate,160000000.0,1000,4,5,Furnished,0,Lagos,160000.0
10,"5bdrm Bungalow in Olufoworeseti, Gberigbe for sale","Ikorodu, Gberigbe",Gberigbe,25000000.0,350,5,3,Unfurnished,0,Lagos,71429.0
11,"11bdrm House in Nwawolor Estate, Oshimili North for sale","Delta State, Oshimili North",Oshimili North,100000000.0,929,11,16,Unfurnished,0,Delta,107643.0
12,4bdrm Bungalow in Eneka for sale,"Port-Harcourt, Eneka",Eneka,35000000.0,972,4,2,Unfurnished,0,Rivers,36008.0
13,"3bdrm Block of Flats in City Of David Estate, Shimawa for sale","Sagamu, Shimawa",Shimawa,110000000.0,600,3,3,Unfurnished,1,Ogun,183333.0
14,3bdrm House in Ado-Odo/Ota for sale,"Ogun State, Ado-Odo/Ota",Ado-Odo/Ota,15000000.0,620,3,3,Unfurnished,0,Ogun,24194.0
15,"5bdrm Bungalow in Chevron Estate., Satelite Town for sale","Ojo, Satelite Town",Satelite Town,100000000.0,370,5,5,Unfurnished,0,Lagos,270270.0
16,"7bdrm Duplex in Efeb Metropolis, Dawaki for sale","Gwarinpa, Dawaki",Dawaki,500000000.0,1000,7,7,Unfurnished,0,Abuja,500000.0
17,"3bdrm Bungalow in Queens Park Estate, Obafemi-Owode for sale","Ogun State, Obafemi-Owode",Obafemi-Owode,42500000.0,250,3,3,Unfurnished,0,Ogun,170000.0
18,4bdrm Duplex in Life Camp Abuja for sale,"Gwarinpa, Life Camp",Life Camp,180000000.0,350,4,4,Semi-furnished,1,Abuja,514286.0
19,"4bdrm Duplex in A Secured Code To, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,155000000.0,350,4,5,Unfurnished,1,Lagos,442857.0
20,"1bdrm Apartment in A Secured Gated, Ologolo for sale","Lekki, Ologolo",Ologolo,80000000.0,300,1,1,Unfurnished,1,Lagos,266667.0
21,"5bdrm Duplex in Abese Est,  Elebu, Ibadan for sale","Oyo State, Ibadan",Ibadan,80000000.0,480,5,5,Semi-furnished,1,Oyo,166667.0
22,"5bdrm Duplex in Independence Layout, Enugu for sale","Enugu State, Enugu",Enugu,350000000.0,600,5,5,Unfurnished,1,Enugu,583333.0
23,"1bdrm Block of Flats in Leisure Place Street, Kubwa for sale","Abuja (FCT), Kubwa",Kubwa,48000000.0,500,1,1,Unfurnished,0,Abuja,96000.0
24,"3bdrm Bungalow in Harmony Estate, Ibadan for sale","Oyo State, Ibadan",Ibadan,65000000.0,650,3,4,Semi-furnished,0,Oyo,100000.0
25,"4bdrm Duplex in A Well Secured, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,250000000.0,400,4,4,Unfurnished,1,Lagos,625000.0
26,"5bdrm Duplex in Premier Layout, Enugu for sale","Enugu State, Enugu",Enugu,230000000.0,500,5,5,Unfurnished,1,Enugu,460000.0
27,"5bdrm Duplex in A Well Secured Code, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,265000000.0,500,5,6,Unfurnished,1,Lagos,530000.0
28,5bdrm Duplex in Oluyole Estate for sale,"Ibadan, Oluyole Estate",Oluyole Estate,250000000.0,500,5,5,Semi-furnished,1,Oyo,500000.0
29,"4bdrm Bungalow in Ijare Road, Akure for sale","Ondo State, Akure",Akure,65000000.0,650,4,5,Semi-furnished,0,Ondo,100000.0
30,"4bdrm Duplex in Heliu Estate, Enugu for sale","Enugu State, Enugu",Enugu,250000000.0,500,4,4,Unfurnished,1,Enugu,500000.0
31,"4bdrm Duplex in A Well Secured Code, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,155000000.0,380,4,5,Unfurnished,1,Lagos,407895.0
32,"12bdrm House in Oda Road, Akure for sale","Ondo State, Akure",Akure,17000000.0,900,12,2,Unfurnished,0,Ondo,18889.0
33,"5bdrm Duplex in Golf Estate, Enugu for sale","Enugu State, Enugu",Enugu,250000000.0,500,5,5,Unfurnished,1,Enugu,500000.0
34,"3bdrm Bungalow in Adoration Road Emene, Enugu for sale","Enugu State, Enugu",Enugu,35000000.0,400,3,3,Unfurnished,1,Enugu,87500.0
35,5bdrm Duplex in Lekki Palm City for sale,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,270000000.0,300,5,6,Semi-furnished,1,Lagos,900000.0
36,"3bdrm Duplex in Gra Alagbaka, Akure for sale","Ondo State, Akure",Akure,98000000.0,500,3,4,Semi-furnished,0,Ondo,196000.0
37,"2bdrm Apartment in A Secured Gated, Ologolo for sale","Lekki, Ologolo",Ologolo,90000000.0,300,2,2,Unfurnished,1,Lagos,300000.0
38,"4bdrm Duplex in Golden Park Estate, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,150000000.0,500,4,4,Unfurnished,1,Lagos,300000.0
39,"4bdrm Duplex in A Well Secured, Ikota for sale","Lekki, Ikota",Ikota,150000000.0,300,4,4,Unfurnished,1,Lagos,500000.0
40,"3bdrm Block of Flats in Challenge, Ibadan for sale","Oyo State, Ibadan",Ibadan,45000000.0,500,3,2,Unfurnished,1,Oyo,90000.0
41,3bdrm Block of Flats in Magodo Phase 1 Gra for sale,"Magodo, GRA Phase 1",GRA Phase 1,500000000.0,780,3,3,Semi-furnished,0,Lagos,641026.0
42,"5bdrm Duplex in Centenary City, Enugu for sale","Enugu State, Enugu",Enugu,150000000.0,500,5,5,Unfurnished,1,Enugu,300000.0
43,4bdrm House in Benin City for sale,"Edo State, Benin City",Benin City,70000000.0,557,4,3,Unfurnished,0,Edo,125673.0
44,"2bdrm Apartment in Oda Road, Akure for sale","Ondo State, Akure",Akure,33000000.0,700,2,2,Unfurnished,0,Ondo,47143.0
45,"Furnished 4bdrm Duplex in A Secured Code To, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,250000000.0,350,4,5,Furnished,1,Lagos,714286.0
46,"3bdrm Block of Flats in Idanre Road, Akure for sale","Ondo State, Akure",Akure,55000000.0,1400,3,2,Unfurnished,0,Ondo,39286.0
47,"5bdrm Duplex in Thinkers Corner, Enugu for sale","Enugu State, Enugu",Enugu,235000000.0,500,5,5,Unfurnished,1,Enugu,470000.0
